"Year","Birth order","Age class of mother","Age class of father","Live births"
"2004","Third child","40-44 years","70 years or more",0
"2004","Third child","40-44 years","Unknown",0
"2004","Third child","45-49 years","Less than 20 years",0
"2004","Third child","45-49 years","20-24 years",0
"2004","Third child","45-49 years","25-29 years",0
"2004","Third child","45-49 years","30-34 years",1
"2004","Third child","45-49 years","35-39 years",1
"2004","Third child","45-49 years","40-44 years",5
"2004","Third child","45-49 years","45-49 years",4
"2004","Third child","45-49 years","50-59 years",2
"2004","Third child","45-49 years","60-69 years",0
"2004","Third child","45-49 years","70 years or more",0
"2004","Third child","45-49 years","Unknown",0
"2004","Third child","50 years or more","Less than 20 years",0
"2004","Third child","50 years or more","20-24 years",0
"2004","Third child","50 years or more","25-29 years",0
"2004","Third child","50 years or more","30-34 years",0
"2004","Third child","50 years or more","35-39 years",0
"2004","Third child","50 years or more","40-44 years",0
"2004","Third child","50 years or more","45-49 years",0
"2004","Third child","50 years or more","50-59 years",0
"2004","Third child","50 years or more","60-69 years",0
"2004","Third child","50 years or more","70 years or more",0
"2004","Third child","50 years or more","Unknown",0
"2004","Fourth child or more","Less than 20 years","Less than 20 years",0
"2004","Fourth child or more","Less than 20 years","20-24 years",0
"2004","Fourth child or more","Less than 20 years","25-29 years",0
"2004","Fourth child or more","Less than 20 years","30-34 years",0
"2004","Fourth child or more","Less than 20 years","35-39 years",0
"2004","Fourth child or more","Less than 20 years","40-44 years",0
"2004","Fourth child or more","Less than 20 years","45-49 years",0
"2004","Fourth child or more","Less than 20 years","50-59 years",0
"2004","Fourth child or more","Less than 20 years","60-69 years",0
"2004","Fourth child or more","Less than 20 years","70 years or more",0
"2004","Fourth child or more","Less than 20 years","Unknown",0
"2004","Fourth child or more","20-24 years","Less than 20 years",0
"2004","Fourth child or more","20-24 years","20-24 years",2
"2004","Fourth child or more","20-24 years","25-29 years",5
"2004","Fourth child or more","20-24 years","30-34 years",5
"2004","Fourth child or more","20-24 years","35-39 years",1
"2004","Fourth child or more","20-24 years","40-44 years",1
"2004","Fourth child or more","20-24 years","45-49 years",0
"2004","Fourth child or more","20-24 years","50-59 years",0
"2004","Fourth child or more","20-24 years","60-69 years",0
"2004","Fourth child or more","20-24 years","70 years or more",0
"2004","Fourth child or more","20-24 years","Unknown",0
"2004","Fourth child or more","25-29 years","Less than 20 years",0
"2004","Fourth child or more","25-29 years","20-24 years",1
"2004","Fourth child or more","25-29 years","25-29 years",57
"2004","Fourth child or more","25-29 years","30-34 years",101
"2004","Fourth child or more","25-29 years","35-39 years",59
"2004","Fourth child or more","25-29 years","40-44 years",14
"2004","Fourth child or more","25-29 years","45-49 years",5
"2004","Fourth child or more","25-29 years","50-59 years",0
"2004","Fourth child or more","25-29 years","60-69 years",0
"2004","Fourth child or more","25-29 years","70 years or more",0
"2004","Fourth child or more","25-29 years","Unknown",0
"2004","Fourth child or more","30-34 years","Less than 20 years",0
"2004","Fourth child or more","30-34 years","20-24 years",0
"2004","Fourth child or more","30-34 years","25-29 years",17
"2004","Fourth child or more","30-34 years","30-34 years",267
"2004","Fourth child or more","30-34 years","35-39 years",361
"2004","Fourth child or more","30-34 years","40-44 years",132
"2004","Fourth child or more","30-34 years","45-49 years",32
"2004","Fourth child or more","30-34 years","50-59 years",3
"2004","Fourth child or more","30-34 years","60-69 years",1
"2004","Fourth child or more","30-34 years","70 years or more",0
"2004","Fourth child or more","30-34 years","Unknown",0
"2004","Fourth child or more","35-39 years","Less than 20 years",0
"2004","Fourth child or more","35-39 years","20-24 years",0
"2004","Fourth child or more","35-39 years","25-29 years",6
"2004","Fourth child or more","35-39 years","30-34 years",61
"2004","Fourth child or more","35-39 years","35-39 years",401
"2004","Fourth child or more","35-39 years","40-44 years",323
"2004","Fourth child or more","35-39 years","45-49 years",81
"2004","Fourth child or more","35-39 years","50-59 years",11
"2004","Fourth child or more","35-39 years","60-69 years",1
"2004","Fourth child or more","35-39 years","70 years or more",0
"2004","Fourth child or more","35-39 years","Unknown",0
"2004","Fourth child or more","40-44 years","Less than 20 years",0
"2004","Fourth child or more","40-44 years","20-24 years",0
"2004","Fourth child or more","40-44 years","25-29 years",1
"2004","Fourth child or more","40-44 years","30-34 years",5
"2004","Fourth child or more","40-44 years","35-39 years",41
"2004","Fourth child or more","40-44 years","40-44 years",137
"2004","Fourth child or more","40-44 years","45-49 years",67
"2004","Fourth child or more","40-44 years","50-59 years",22
"2004","Fourth child or more","40-44 years","60-69 years",1
"2004","Fourth child or more","40-44 years","70 years or more",0
"2004","Fourth child or more","40-44 years","Unknown",0
"2004","Fourth child or more","45-49 years","Less than 20 years",0
"2004","Fourth child or more","45-49 years","20-24 years",0
"2004","Fourth child or more","45-49 years","25-29 years",0
"2004","Fourth child or more","45-49 years","30-34 years",0
"2004","Fourth child or more","45-49 years","35-39 years",0
"2004","Fourth child or more","45-49 years","40-44 years",0
"2004","Fourth child or more","45-49 years","45-49 years",7
"2004","Fourth child or more","45-49 years","50-59 years",2
"2004","Fourth child or more","45-49 years","60-69 years",0
"2004","Fourth child or more","45-49 years","70 years or more",0
"2004","Fourth child or more","45-49 years","Unknown",0
"2004","Fourth child or more","50 years or more","Less than 20 years",0
"2004","Fourth child or more","50 years or more","20-24 years",0
"2004","Fourth child or more","50 years or more","25-29 years",0
"2004","Fourth child or more","50 years or more","30-34 years",0
"2004","Fourth child or more","50 years or more","35-39 years",0
"2004","Fourth child or more","50 years or more","40-44 years",0
"2004","Fourth child or more","50 years or more","45-49 years",0
"2004","Fourth child or more","50 years or more","50-59 years",1
"2004","Fourth child or more","50 years or more","60-69 years",0
"2004","Fourth child or more","50 years or more","70 years or more",0
"2004","Fourth child or more","50 years or more","Unknown",0
"2004","Mother not married","Less than 20 years","Less than 20 years",0
"2004","Mother not married","Less than 20 years","20-24 years",0
"2004","Mother not married","Less than 20 years","25-29 years",0
"2004","Mother not married","Less than 20 years","30-34 years",0
"2004","Mother not married","Less than 20 years","35-39 years",0
"2004","Mother not married","Less than 20 years","40-44 years",0
"2004","Mother not married","Less than 20 years","45-49 years",0
"2004","Mother not married","Less than 20 years","50-59 years",0
"2004","Mother not married","Less than 20 years","60-69 years",0
"2004","Mother not married","Less than 20 years","70 years or more",0
"2004","Mother not married","Less than 20 years","Unknown",438
"2004","Mother not married","20-24 years","Less than 20 years",0
"2004","Mother not married","20-24 years","20-24 years",0
"2004","Mother not married","20-24 years","25-29 years",0
"2004","Mother not married","20-24 years","30-34 years",0
"2004","Mother not married","20-24 years","35-39 years",0
"2004","Mother not married","20-24 years","40-44 years",0
"2004","Mother not married","20-24 years","45-49 years",0
"2004","Mother not married","20-24 years","50-59 years",0
"2004","Mother not married","20-24 years","60-69 years",0
"2004","Mother not married","20-24 years","70 years or more",0
"2004","Mother not married","20-24 years","Unknown",1567
"2004","Mother not married","25-29 years","Less than 20 years",0
"2004","Mother not married","25-29 years","20-24 years",0
"2004","Mother not married","25-29 years","25-29 years",0
"2004","Mother not married","25-29 years","30-34 years",0
"2004","Mother not married","25-29 years","35-39 years",0
"2004","Mother not married","25-29 years","40-44 years",0
"2004","Mother not married","25-29 years","45-49 years",0
"2004","Mother not married","25-29 years","50-59 years",0
"2004","Mother not married","25-29 years","60-69 years",0
"2004","Mother not married","25-29 years","70 years or more",0
"2004","Mother not married","25-29 years","Unknown",2280
"2004","Mother not married","30-34 years","Less than 20 years",0
"2004","Mother not married","30-34 years","20-24 years",0
"2004","Mother not married","30-34 years","25-29 years",0
"2004","Mother not married","30-34 years","30-34 years",0
"2004","Mother not married","30-34 years","35-39 years",0
"2004","Mother not married","30-34 years","40-44 years",0
"2004","Mother not married","30-34 years","45-49 years",0
"2004","Mother not married","30-34 years","50-59 years",0
"2004","Mother not married","30-34 years","60-69 years",0
"2004","Mother not married","30-34 years","70 years or more",0
"2004","Mother not married","30-34 years","Unknown",2839
"2004","Mother not married","35-39 years","Less than 20 years",0
"2004","Mother not married","35-39 years","20-24 years",0
"2004","Mother not married","35-39 years","25-29 years",0
"2004","Mother not married","35-39 years","30-34 years",0
"2004","Mother not married","35-39 years","35-39 years",0
"2004","Mother not married","35-39 years","40-44 years",0
"2004","Mother not married","35-39 years","45-49 years",0
"2004","Mother not married","35-39 years","50-59 years",0
"2004","Mother not married","35-39 years","60-69 years",0
"2004","Mother not married","35-39 years","70 years or more",0
"2004","Mother not married","35-39 years","Unknown",2053
"2004","Mother not married","40-44 years","Less than 20 years",0
"2004","Mother not married","40-44 years","20-24 years",0
"2004","Mother not married","40-44 years","25-29 years",0
"2004","Mother not married","40-44 years","30-34 years",0
"2004","Mother not married","40-44 years","35-39 years",0
"2004","Mother not married","40-44 years","40-44 years",0
"2004","Mother not married","40-44 years","45-49 years",0
"2004","Mother not married","40-44 years","50-59 years",0
"2004","Mother not married","40-44 years","60-69 years",0
"2004","Mother not married","40-44 years","70 years or more",0
"2004","Mother not married","40-44 years","Unknown",510
"2004","Mother not married","45-49 years","Less than 20 years",0
"2004","Mother not married","45-49 years","20-24 years",0
"2004","Mother not married","45-49 years","25-29 years",0
